text,label
"Your Phonepe login OTP is 456763",ham
"Your Amazon login OTP is 123456. Do not share this with anyone.",ham
"Use 987654 as your verification code for Google.",ham
"Your Netflix verification code is 112233.",ham
"748392 is your OTP for transaction of Rs 500 on HDFC Bank.",ham
"Never share your OTP. Your SBI bank OTP is 556677.",ham
"Your Swiggy login code is 998877. Valid for 5 minutes.",ham
"Zomato: 123987 is your OTP to login.",ham
"Your Uber code is 4455. Never share this code.",ham
"Your WhatsApp registration code is 123-456.",ham
"Apple ID verification code: 345612.",ham
"Microsoft access code: 887766.",ham
"Your Instagram security code is 112233.",ham
"OTP for your transaction at Flipkart is 334455.",ham
"Dear customer, your ICICI bank OTP is 123456.",ham
"Your verification code for Discord is 999888.",ham
"PayPal: Your security code is 776655. It expires in 10 minutes.",ham
"Your Tinder verification code is 223344.",ham
"Your Airbnb verification code is 556677.",ham
"OTP to login to your Paytm account is 112233.",ham
"URGENT: Your account has been suspended. Click here to verify your details http://secure-login-update.com",spam
"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/123456 to claim now.",spam
"Warning: Unusual login attempt on your account. Please secure it at http://account-secure.com",spam
"Your Apple ID has been locked for security reasons. Verify your identity at http://apple-verify.com",spam
"You have a pending package delivery. Pay the $2.99 fee here http://package-fee.com",spam
"URGENT: Verify your PhonePe KYC immediately to avoid suspension http://phonepe-kyc.com",spam
"Your package from Amazon is out for delivery today. https://amazon.in/track/123",ham
"Reminder: Doctor appointment at 10:00 AM tomorrow.",ham
"Your electricity bill of Rs 500 is due on 10th Oct. https://bescom.co.in/pay",ham
"Salary of Rs 50000 credited to your A/c XX1234.",ham
"Your account needs verification. Please update your address. http://update-info-address.com/verify",spam
"Dear customer, you have 1000 reward points expiring today. http://redeem-points-now.xyz",spam
"Action required: confirm your delivery details. http://track-parcel-update.tk/confirm",spam
